Timestamp	Process	TID	Area	Category	EventID	Level	Message	Correlation
07/01/2016 01:15:42.951 	com.microsoft.Office365ServiceV2	0xb0197000	                        com.microsoft.Office365ServiceV2	mbu.instrument	iangv	Information 	Configuration {"FriendlyAppVersion":"15.12.3 (150724)","FriendlyOSVersion":"Mac OS X 10.11.5 (15F34)","DATAID_SCREEN_DPI":72,"Screens":[{"deviceColorSpaceName":"NSCalibratedRGBColorSpace","deviceBitsPerSample":8,"Index":0,"deviceResolutionWidth":72,"deviceResolutionHeight":72,"width":1024,"originY":0,"originX":0,"height":768}],"NumScreens":1,"DATAID_SYS_VOL_SPACE":65923.19,"ProcessArchitecture":"i386","DATAID_RESOLUTION":1024,"MainScreenIndex":0,"DATAID_SCREEN_DEPTH":24,"DATAID_OS_BUILD":"15F34","DATAID_SYS_VOL_SIZE":80076.07,"DATAID_HOME_VOL_SPACE":65923.19,"DATAID_HOME_VOL_SIZE":80076.07}	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:42.951 	com.microsoft.Office365ServiceV2	0xb0197000	                        com.microsoft.Office365ServiceV2	mbu.instrument	iab2v	Information 	Configuration Gathering Perf {"timeInMs":1}	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:42.952 	com.microsoft.Office365ServiceV2	0xb0115000	                        com.microsoft.Office365ServiceV2	wlmRegistry.Cache	iacr1	Information 	Registry Load Time { "Seconds":0.008375, "Keys":577, "Values":1587 }	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:43.612 	com.microsoft.Office365ServiceV2	0xb0115000	                        com.microsoft.Office365ServiceV2	ocfxlog.tracing	ohkab	Information 	OfficeProfile::WriteSqmData: profileId=%s, action=%u, source=%u, mountedServicesCount=%u	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:43.613 	com.microsoft.Office365ServiceV2	0xb0115000	                        com.microsoft.Office365ServiceV2	merp.sqm.public	iam91	Information 	 {"SQMLog" : { "function" : "AddNValuesToStream", "id":304, "value": [0, 0, 406978560, 0, ]}}	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:43.619 	com.microsoft.Office365ServiceV2	0xb0081000	                        com.microsoft.Office365ServiceV2	Mso Authentication	ia77f	Information 	LogActiveProfile {"SignInName": "af3abc2a104fc236", "IdentityProvider": "LiveId"}	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:43.626 	com.microsoft.Office365ServiceV2	0xb0115000	                        com.microsoft.Office365ServiceV2	merp.sqm.public	ohkag	Information 	 {"SQMLog" : {"function": "SQMScalarDataPoint::SetValue", "id":205 ,  "value":0 }} 	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:43.626 	com.microsoft.Office365ServiceV2	0xb0115000	                        com.microsoft.Office365ServiceV2	merp.sqm.public	ohkag	Information 	 {"SQMLog" : {"function": "SQMScalarDataPoint::SetValue", "id":1 ,  "value":2741 }} 	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:43.626 	com.microsoft.Office365ServiceV2	0xb0115000	                        com.microsoft.Office365ServiceV2	merp.sqm.public	ohkag	Information 	 {"SQMLog" : {"function": "SQMScalarDataPoint::SetValue", "id":218 ,  "value":10 }} 	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:43.626 	com.microsoft.Office365ServiceV2	0xb0115000	                        com.microsoft.Office365ServiceV2	merp.sqm.public	ohkag	Information 	 {"SQMLog" : {"function": "SQMScalarDataPoint::SetValue", "id":219 ,  "value":11 }} 	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:43.626 	com.microsoft.Office365ServiceV2	0xb0115000	                        com.microsoft.Office365ServiceV2	merp.sqm.public	ohkag	Information 	 {"SQMLog" : {"function": "SQMScalarDataPoint::SetValue", "id":223 ,  "value":5 }} 	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:43.626 	com.microsoft.Office365ServiceV2	0xb0115000	                        com.microsoft.Office365ServiceV2	merp.sqm.public	ohkag	Information 	 {"SQMLog" : {"function": "SQMScalarDataPoint::SetValue", "id":2 ,  "value":7 }} 	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:43.626 	com.microsoft.Office365ServiceV2	0xb0115000	                        com.microsoft.Office365ServiceV2	merp.sqm.public	ohkag	Information 	 {"SQMLog" : {"function": "SQMScalarDataPoint::SetValue", "id":3 ,  "value":1 }} 	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:43.626 	com.microsoft.Office365ServiceV2	0xb0115000	                        com.microsoft.Office365ServiceV2	merp.sqm.public	ohkag	Information 	 {"SQMLog" : {"function": "SQMScalarDataPoint::SetValue", "id":124 ,  "value":2590 }} 	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:43.626 	com.microsoft.Office365ServiceV2	0xb0115000	                        com.microsoft.Office365ServiceV2	merp.sqm.public	ohkag	Information 	 {"SQMLog" : {"function": "SQMScalarDataPoint::SetValue", "id":125 ,  "value":2560 }} 	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:43.626 	com.microsoft.Office365ServiceV2	0xb0115000	                        com.microsoft.Office365ServiceV2	merp.sqm.public	ohkag	Information 	 {"SQMLog" : {"function": "SQMScalarDataPoint::SetValue", "id":4 ,  "value":986115 }} 	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:43.626 	com.microsoft.Office365ServiceV2	0xb0115000	                        com.microsoft.Office365ServiceV2	merp.sqm.public	ohkag	Information 	 {"SQMLog" : {"function": "SQMScalarDataPoint::SetValue", "id":220 ,  "value":15 }} 	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:43.626 	com.microsoft.Office365ServiceV2	0xb0115000	                        com.microsoft.Office365ServiceV2	merp.sqm.public	ohkag	Information 	 {"SQMLog" : {"function": "SQMScalarDataPoint::SetValue", "id":221 ,  "value":12 }} 	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:43.626 	com.microsoft.Office365ServiceV2	0xb0115000	                        com.microsoft.Office365ServiceV2	merp.sqm.public	ohkag	Information 	 {"SQMLog" : {"function": "SQMScalarDataPoint::SetValue", "id":222 ,  "value":3 }} 	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
07/01/2016 01:15:43.626 	com.microsoft.Office365ServiceV2	0xb0115000	                        com.microsoft.Office365ServiceV2	merp.sqm.public	ohkag	Information 	 {"SQMLog" : {"function": "SQMScalarDataPoint::SetValue", "id":5 ,  "value":0 }} 	1748A0D8-51E7-42E3-8E53-C6EB838E15E3 
